Offset	Sensor Name                                            Value
  0.0	GPS                                                    52.721104°, 13.2235°
  4.0	Steering wheel angle                                   2.0°
  6.8	Vehicle yaw rate                                       -0.88°/s
  6.8	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
  6.8	Vehicle lateral acceleration (+ means left)            -0.24m/s²
 13.8	Steering wheel angle                                   2.0°
 23.9	Steering wheel angle                                   2.0°
 26.3	Vehicle yaw rate                                       -0.7°/s
 26.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
 26.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
 33.9	Steering wheel angle                                   2.0°
 44.0	Steering wheel angle                                   2.0°
 46.3	Vehicle yaw rate                                       -0.7°/s
 46.3	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
 46.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
 54.0	Steering wheel angle                                   2.0°
 63.9	Steering wheel angle                                   2.0°
 66.4	Vehicle yaw rate                                       -0.7°/s
 66.4	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
 66.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
 66.9	Displayed vehicle speed                                72.7km/h
 73.9	Steering wheel angle                                   2.0°
 83.9	Steering wheel angle                                   2.0°
 86.9	Vehicle yaw rate                                       -0.7°/s
 86.9	Vehicle longitudinal acceleration (+ means forward)    0.8m/s²
 86.9	Vehicle lateral acceleration (+ means left)            -0.24m/s²
 94.1	Steering wheel angle                                   2.0°
104.0	Steering wheel angle                                   2.0°
106.3	Vehicle yaw rate                                       -0.88°/s
106.3	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
106.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
113.9	Steering wheel angle                                   2.0°
124.0	Steering wheel angle                                   2.0°
126.3	Vehicle yaw rate                                       -0.7°/s
126.3	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
126.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
134.0	Steering wheel angle                                   2.0°
144.1	Steering wheel angle                                   2.0°
146.5	Vehicle yaw rate                                       -0.7°/s
146.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
146.5	Vehicle lateral acceleration (+ means left)            -0.24m/s²
153.9	Steering wheel angle                                   2.0°
164.0	Steering wheel angle                                   2.0°
166.4	Vehicle yaw rate                                       -0.7°/s
166.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
166.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
167.0	Displayed vehicle speed                                72.8km/h
174.0	Steering wheel angle                                   2.0°
184.0	Steering wheel angle                                   2.0°
186.9	Vehicle yaw rate                                       -0.7°/s
186.9	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
186.9	Vehicle lateral acceleration (+ means left)            -0.16m/s²
193.9	Steering wheel angle                                   2.0°
203.7	Steering wheel angle                                   2.0°
206.5	Vehicle yaw rate                                       -0.7°/s
206.5	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
206.5	Vehicle lateral acceleration (+ means left)            -0.16m/s²
214.0	Steering wheel angle                                   2.0°
223.7	Steering wheel angle                                   2.0°
226.4	Vehicle yaw rate                                       -0.7°/s
226.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
226.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
234.0	Steering wheel angle                                   2.0°
243.8	Steering wheel angle                                   2.0°
246.9	Vehicle yaw rate                                       -0.7°/s
246.9	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
246.9	Vehicle lateral acceleration (+ means left)            -0.16m/s²
254.0	Steering wheel angle                                   2.0°
264.1	Steering wheel angle                                   2.0°
266.6	Vehicle yaw rate                                       -0.7°/s
266.6	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
266.6	Vehicle lateral acceleration (+ means left)            -0.16m/s²
267.2	Displayed vehicle speed                                72.9km/h
274.1	Steering wheel angle                                   2.0°
284.1	Steering wheel angle                                   2.0°
287.0	Vehicle yaw rate                                       -0.7°/s
287.0	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
287.0	Vehicle lateral acceleration (+ means left)            -0.08m/s²
293.9	Steering wheel angle                                   2.0°
303.9	Steering wheel angle                                   2.0°
306.6	Vehicle yaw rate                                       -0.88°/s
306.6	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
306.6	Vehicle lateral acceleration (+ means left)            -0.08m/s²
314.1	Steering wheel angle                                   2.0°
323.8	Steering wheel angle                                   2.0°
326.8	Vehicle yaw rate                                       -0.88°/s
326.8	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
326.8	Vehicle lateral acceleration (+ means left)            -0.08m/s²
334.0	Steering wheel angle                                   2.0°
343.8	Steering wheel angle                                   2.0°
346.7	Vehicle yaw rate                                       -0.88°/s
346.7	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
346.7	Vehicle lateral acceleration (+ means left)            -0.16m/s²
353.8	Steering wheel angle                                   2.0°
363.8	Steering wheel angle                                   2.0°
366.7	Vehicle yaw rate                                       -0.88°/s
366.7	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
366.7	Vehicle lateral acceleration (+ means left)            -0.16m/s²
367.9	Displayed vehicle speed                                73.0km/h
373.8	Steering wheel angle                                   2.0°
383.9	Steering wheel angle                                   2.0°
386.7	Vehicle yaw rate                                       -0.88°/s
386.7	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
386.7	Vehicle lateral acceleration (+ means left)            -0.24m/s²
393.9	Steering wheel angle                                   2.0°
403.8	Steering wheel angle                                   2.0°
406.9	Vehicle yaw rate                                       -0.88°/s
406.9	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
406.9	Vehicle lateral acceleration (+ means left)            -0.24m/s²
413.8	Steering wheel angle                                   2.0°
423.8	Steering wheel angle                                   2.0°
426.9	Vehicle yaw rate                                       -1.05°/s
426.9	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
426.9	Vehicle lateral acceleration (+ means left)            -0.24m/s²
433.8	Steering wheel angle                                   2.0°
443.8	Steering wheel angle                                   2.0°
447.0	Vehicle yaw rate                                       -0.88°/s
447.0	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
447.0	Vehicle lateral acceleration (+ means left)            -0.24m/s²
454.1	Steering wheel angle                                   2.0°
463.8	Steering wheel angle                                   2.0°
467.1	Displayed vehicle speed                                73.3km/h
467.3	Vehicle yaw rate                                       -1.05°/s
467.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
467.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
473.9	Steering wheel angle                                   2.0°
483.9	Steering wheel angle                                   2.0°
486.8	Vehicle yaw rate                                       -0.88°/s
486.8	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
486.8	Vehicle lateral acceleration (+ means left)            -0.4m/s²
493.8	Steering wheel angle                                   2.0°
503.7	Steering wheel angle                                   2.0°
507.4	Vehicle yaw rate                                       -0.88°/s
507.4	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
507.4	Vehicle lateral acceleration (+ means left)            -0.4m/s²
513.7	Steering wheel angle                                   2.0°
523.7	Steering wheel angle                                   2.0°
526.8	Vehicle yaw rate                                       -1.05°/s
526.8	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
526.8	Vehicle lateral acceleration (+ means left)            -0.48m/s²
533.7	Steering wheel angle                                   2.0°
543.8	Steering wheel angle                                   2.0°
547.2	Vehicle yaw rate                                       -0.88°/s
547.2	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
547.2	Vehicle lateral acceleration (+ means left)            -0.48m/s²
553.7	Steering wheel angle                                   2.0°
563.7	Steering wheel angle                                   2.0°
566.8	Vehicle yaw rate                                       -0.88°/s
566.8	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
566.8	Vehicle lateral acceleration (+ means left)            -0.48m/s²
567.4	Displayed vehicle speed                                73.4km/h
573.9	Steering wheel angle                                   2.0°
583.8	Steering wheel angle                                   2.0°
587.5	Vehicle yaw rate                                       -0.88°/s
587.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
587.5	Vehicle lateral acceleration (+ means left)            -0.48m/s²
593.8	Steering wheel angle                                   2.0°
603.8	Steering wheel angle                                   2.0°
606.2	Vehicle yaw rate                                       -0.88°/s
606.2	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
606.2	Vehicle lateral acceleration (+ means left)            -0.48m/s²
613.8	Steering wheel angle                                   2.0°
623.7	Steering wheel angle                                   2.0°
627.1	Vehicle yaw rate                                       -0.7°/s
627.1	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
627.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
633.7	Steering wheel angle                                   2.0°
643.8	Steering wheel angle                                   2.0°
647.0	Vehicle yaw rate                                       -0.88°/s
647.0	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
647.0	Vehicle lateral acceleration (+ means left)            -0.4m/s²
653.8	Steering wheel angle                                   2.0°
663.7	Steering wheel angle                                   2.0°
667.1	Vehicle yaw rate                                       -0.7°/s
667.1	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
667.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
667.9	Displayed vehicle speed                                73.4km/h
673.8	Steering wheel angle                                   2.0°
683.8	Steering wheel angle                                   2.0°
687.8	Vehicle yaw rate                                       -0.7°/s
687.8	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
687.8	Vehicle lateral acceleration (+ means left)            -0.4m/s²
693.8	Steering wheel angle                                   2.0°
703.7	Steering wheel angle                                   2.0°
706.3	Vehicle yaw rate                                       -0.7°/s
706.3	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
706.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
713.7	Steering wheel angle                                   2.0°
723.7	Steering wheel angle                                   2.0°
727.2	Vehicle yaw rate                                       -0.7°/s
727.2	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
727.2	Vehicle lateral acceleration (+ means left)            -0.24m/s²
733.7	Steering wheel angle                                   2.0°
743.7	Steering wheel angle                                   2.0°
747.2	Vehicle yaw rate                                       -0.88°/s
747.2	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
747.2	Vehicle lateral acceleration (+ means left)            -0.24m/s²
753.8	Steering wheel angle                                   2.0°
763.7	Steering wheel angle                                   2.0°
766.4	Vehicle yaw rate                                       -0.7°/s
766.4	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
766.4	Vehicle lateral acceleration (+ means left)            -0.24m/s²
767.3	Displayed vehicle speed                                73.7km/h
773.8	Steering wheel angle                                   2.0°
783.8	Steering wheel angle                                   2.0°
786.6	Vehicle yaw rate                                       -0.88°/s
786.6	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
786.6	Vehicle lateral acceleration (+ means left)            -0.24m/s²
793.8	Steering wheel angle                                   2.0°
803.7	Steering wheel angle                                   2.0°
806.7	Vehicle yaw rate                                       -0.88°/s
806.7	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
806.7	Vehicle lateral acceleration (+ means left)            -0.16m/s²
813.7	Steering wheel angle                                   2.0°
823.7	Steering wheel angle                                   2.0°
826.5	Vehicle yaw rate                                       -0.88°/s
826.5	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
826.5	Vehicle lateral acceleration (+ means left)            -0.16m/s²
833.7	Steering wheel angle                                   2.0°
843.7	Steering wheel angle                                   2.0°
846.7	Vehicle yaw rate                                       -0.88°/s
846.7	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
846.7	Vehicle lateral acceleration (+ means left)            -0.16m/s²
854.0	Steering wheel angle                                   2.0°
863.7	Steering wheel angle                                   2.0°
866.2	Vehicle yaw rate                                       -0.7°/s
866.2	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
866.2	Vehicle lateral acceleration (+ means left)            -0.16m/s²
867.6	Displayed vehicle speed                                73.8km/h
874.0	Steering wheel angle                                   2.0°
883.7	Steering wheel angle                                   2.0°
886.8	Vehicle yaw rate                                       -0.88°/s
886.8	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
886.8	Vehicle lateral acceleration (+ means left)            -0.16m/s²
893.9	Steering wheel angle                                   2.0°
903.7	Steering wheel angle                                   2.0°
906.5	Vehicle yaw rate                                       -0.88°/s
906.5	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
906.5	Vehicle lateral acceleration (+ means left)            -0.24m/s²
913.7	Steering wheel angle                                   2.0°
923.7	Steering wheel angle                                   2.0°
926.2	Vehicle yaw rate                                       -0.88°/s
926.2	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
926.2	Vehicle lateral acceleration (+ means left)            -0.16m/s²
933.7	Steering wheel angle                                   2.0°
943.7	Steering wheel angle                                   2.0°
946.3	Vehicle yaw rate                                       -0.88°/s
946.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
946.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
953.6	Steering wheel angle                                   2.0°
963.7	Steering wheel angle                                   2.0°
966.8	Displayed vehicle speed                                73.9km/h
967.0	Vehicle yaw rate                                       -0.88°/s
967.0	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
967.0	Vehicle lateral acceleration (+ means left)            -0.16m/s²
973.7	Steering wheel angle                                   2.0°
983.7	Steering wheel angle                                   2.0°
987.3	Vehicle yaw rate                                       -0.88°/s
987.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
987.3	Vehicle lateral acceleration (+ means left)            -0.16m/s²
993.8	Steering wheel angle                                   2.0°
1000.0	GPS                                                    52.72117°, 13.223778°
1003.6	Steering wheel angle                                   2.0°
1006.6	Vehicle yaw rate                                       -0.88°/s
1006.6	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1006.6	Vehicle lateral acceleration (+ means left)            -0.16m/s²
1013.6	Steering wheel angle                                   2.0°
1023.6	Steering wheel angle                                   2.0°
1026.4	Vehicle yaw rate                                       -0.7°/s
1026.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
1026.4	Vehicle lateral acceleration (+ means left)            -0.08m/s²
1033.6	Steering wheel angle                                   4.0°
1043.6	Steering wheel angle                                   4.0°
1046.3	Vehicle yaw rate                                       -0.7°/s
1046.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
1046.3	Vehicle lateral acceleration (+ means left)            -0.08m/s²
1053.7	Steering wheel angle                                   4.0°
1063.6	Steering wheel angle                                   4.0°
1066.1	Vehicle yaw rate                                       -0.88°/s
1066.1	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
1066.1	Vehicle lateral acceleration (+ means left)            -0.08m/s²
1066.7	Displayed vehicle speed                                74.0km/h
1073.8	Steering wheel angle                                   4.0°
1083.9	Steering wheel angle                                   4.0°
1086.1	Vehicle yaw rate                                       -0.88°/s
1086.1	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
